"9991DGK","00009991DGK0","02/27/2005","RENAULT","LAGUNA II 1.9 DCI PRIVILEGE","DIESEL","120","1.9","4P","BEIGE","69000","7500,00","6900,00","1","EXP. CADIZ","PARTICULAR","PARTICULAR","01/24/2011","12 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD FAROS XENON RADIO CD LLANTAS PINTURA METALIZADA","76822"
"3409GVG","VF36D9HZC9L027201","03/29/2010","PEUGEOT","407 SPORT 1.6 HDI 110CV","DIESEL","110","1.6","4P","ORO BLANCO (META","14800","16900,00","16300,00","1","EXP. PUERTO","CDVO","PARTICULAR","01/24/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD GPS LLANTAS AIRE ACONDICIONADO PINTURA METALIZADA","76839"
"5079BSJ","00000000005079BSJ","01/01/2002","MERCEDES","CLASE M ML 400 CDI AUTO 5P","DIESEL","278","1.9","5P","GRIS","144000","11500,00","10500,00","1","EXP. JEREZ","PARTICULAR","PARTICULAR","01/25/2011","12 MESES"," ABS ESP CONTROL TRACCION 4WD ASIENTO CALEFACTADO AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR ALARMA ANTINIEBLA CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO ASIENTO ELECTRICO CUERO ASIENTO CALEFACTADO CONTROL VELOCIDAD FAROS XENON CONTROL AYUDA PARKING PINTURA METALIZADA LLANTAS BACA RADIO CD GPS","76848"
"3200GSD","VF34C5FWC9S142988","12/01/2009","PEUGEOT","308 5P CONF VTI 120","GASOLINA","120","1.6","5P","NEGRO PERLA","0","11900,00","11500,00","1","PUERTO REAL","KM0","PARTICULAR","03/22/2011","24 MESES"," PINTURA METALIZADA ABS ESP AIRBAG PASAJERO AIRBAG CONDUCTOR AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","71589"
"5313GLL","VF3PNCFAC88298050","03/25/2009","PEUGEOT","107 5P URBAN MOVE 2 1.0 68","GASOLINA","68","1.0","5P","GRIS GALLIUM","18700","8000,00","7800,00","1","EXP. JEREZ","CDVO","PARTICULAR","07/13/2010","24 MESES"," PINTURA METALIZADA ABS AIRBAG CONDUCTOR AIRBAG PASAJERO INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","66285"
"1363FGC","00000000095202158","09/28/2006","PEUGEOT","PARTNER 2.0 COMBI PLUS HDI 90","DIESEL","90","2.0","5P","BLANCO BANQUISE","89200","6000,00","5600,00","2","EXP. JEREZ","PARTICULAR","PARTICULAR","01/31/2011","12 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD","76908"
"5310GLL","VF3PNCFAC88302557","03/25/2009","PEUGEOT","107 5P URBAN MOVE 2 1.0 68","GASOLINA","68","1.0","5P","GRIS GALLIUM","16180","8000,00","7800,00","1","EXP. PUERTO","CDVO","PARTICULAR","07/13/2010","24 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","66423"
"8362FHF","VF3YAAMFA11051699","10/30/2006","PEUGEOT","BOXER FURGON 330 L1 H1 HDI 100","DIESEL","100","2.0","4P","BLANCO BANQUISE","80800","9300,00","8800,00","2","EXP. PUERTO","CDVO","PARTICULAR","02/11/2011","12 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA RADIO CD ELEVALUNAS ELECTRICO","77079"
"6099FGP","VF36DRHRH21527699","10/17/2006","PEUGEOT","407 ST SPORT 2.0 HDI 136CV","DIESEL","136","2.0","4P","NEGRO PERLA","151813","8900,00","8500,00","1","VENDEDOR A. TIRADO","CDVO","PARTICULAR","02/11/2011","12 MESES"," ANTINIEBLA ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA","77086"
"0706GJF","VF34E9HXC55208844","10/27/2008","PEUGEOT","308 SW URBAN 1.6 HDI 90CV","DIESEL","90","1.6","5P","AZUL MONTEBELLO","60700","11200,00","10700,00","1","EXP. CADIZ","CDVO","PARTICULAR","02/11/2011","12 MESES"," ABS AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO AIRE ACONDICIONADO CIERRE CENTRALIZADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO PINTURA METALIZADA RADIO CD CONTROL VELOCIDAD","77087"
